,brand,current_price,old_price,discount,description,ratings,times_reviewed,ROM,RAM,mAh,camera,total_camera,screen_size(inch),star
0,Gionee,48000,73630,35,Gionee K3 (M100) 4GB+64GB 6.22 Inch HD+ Android  P 5000 Mah Dual SIM 4G LTE Smartphone,70,10,64.0,4.0,5000.0,,21.0,6.22,3.5
1,Nokia,59520,119660,50,"7， 5.2-inch (4GB, 64GB ROM) Android 7.1, 16MP + 5MP, 3000mAh, Dual Sim 4G LTE Smartphone - Black",76,10,64.0,4.0,3000.0,16MP+5MP,21.0,5.2,4.0
2,UMIDIGI,25990,29990,13,"A3S Android 10 Global Band 3950mAh 5.7"" Smartphone 13MP Selfie Triple Slots Dual 4G VoLTE Celular",86,99,32.0,4.0,3950.0,13MP,13.0,5.7,4.5
3,Nokia,42990,70485,39,3.2 3GB RAM 32GB 6.26 Inch 13MP Camera Dual SIM 4G Android 9.0 Googleplay Phone,81,104,32.0,3.0,,13MP,13.0,6.26,4.5
4,UMIDIGI,25990,29990,13,"A3S Android 10 Global Band 3950mAh 5.7"" Smartphone 13MP Selfie Triple Slots Dual 4G VoLTE Celular",78,148,32.0,4.0,3950.0,13MP,13.0,5.7,4.0
5,Gionee,37350,49990,25,"S11 Lite 5.7-Inch HD (4GB,64GB ROM) Android 7.1 (13MP + 2MP) + 16MP Dual SIM 4G LTE Fingerprint ID Smartphone - Black",85,1145,64.0,4.0,,13MP+2MP+16MP,31.0,5.7,4.5
6,Gionee,37970,55000,31,"S11 Lite 5.7-Inch HD (4GB,64GB ROM) Android 7.1 (13MP + 2MP) + 16MP Dual SIM 4G LTE Fingerprint ID Smartphone - Gold",85,668,64.0,4.0,,13MP+2MP+16MP,31.0,5.7,4.5
7,Tecno,36000,36000,0,"Spark 3 (KB7) 6.2-Inch HD (1GB,16GB ROM) Android 8.1 Oreo, 13MP + 8MP Dual SIM 3G Smartphone - Aqua Blue (JF)",75,11,16.0,1.0,,13MP+8MP,21.0,6.2,4.0
8,Nokia,32300,59670,46,3.1 Global Version Phone 5.2 Inch 3GB RAM+32GB ROM MTK MT6750N Octa Core 4G Smartphone,87,36,32.0,3.0,,,21.0,5.2,4.5
9,Nokia,60699,80000,24,"6.1 Plus (Nokia X6) 5.8"" (4GB RAM, 64GB ROM) Android 8.1,(16MP+5MP) + 16MP, 3060mAh, Hybrid Dual SIM 4G Smartphone-Blue",98,22,64.0,4.0,3060.0,16MP+5MP+16MP,37.0,5.8,5.0
10,Nokia,35699,45999,22,"5.1, 5.5-inch (3GB RAM 32GB ROM), Android 9 Pie, Dual Sim, 16MP+8MP 2970mAh 4G Smartphone-BLACK",88,42,32.0,3.0,2970.0,16MP+8MP,24.0,5.5,4.5
11,Oukitel,25880,43500,41,"C12 - 3G - 6.18"" (2GB RAM, 16GB ROM) - Dual SIM - Fingerprint Sensor - 3300mAh - Black",83,374,16.0,2.0,3300.0,,21.0,6.18,4.5
12,Oukitel,43199,55999,23,"C17 Pro 6.35-inch Android 9.0 With Back Case,(4GB RAM 64GB ROM)Cortex A53 2.0GHz Triple Rear Cameras 4G Smartphone-BLUE",83,155,64.0,4.0,,,21.0,6.35,4.5
13,Tecno,59900,65000,8,"Pouvoir 3 Plus (LB8a) 6.35"" AMOLED (64GB ROM+ 4GB RAM) Android 9, (13MP + 8MP + 2MP)+8MP 6000mAh 4G LTE - Gold",80,4,64.0,4.0,6000.0,13MP+8MP+2MP+8MP,31.0,6.35,4.0
14,Samsung,69890,72990,4,"Galaxy A20s 6.5-Inch (3GB,32GB ROM) Android 9.0 Pie,  Triple Camera (13MP/5MP/8MP) + 8MP 4G LTE Fingerprint - Black",91,33,32.0,3.0,,13MP+5MP+8MP+8MP,34.0,6.5,5.0
15,Samsung,98499,180000,45,Galaxy S8 Edge 5.8'' QHD(4GB+64GB) 12MP+8MP Smartphone-Midnight Blcak,98,7,64.0,4.0,,12MP+8MP,20.0,5.8,5.0
16,UMIDIGI,29990,34990,14,"A3X Android 10 Global Version 3GB RAM 5.7"" Smartphone Dual 4G Triple Slots 3300mAh",76,59,32.0,3.0,3300.0,,21.0,5.7,4.0
17,Leagoo,21929,42370,48,"POWER 2  5.0""HD 2GB+16GB Android 8.1 MT6580A Quad Core Dual Camera Rear Fingerprint  Smartphone",76,5,16.0,2.0,,,21.0,5.0,4.0
18,Samsung,52000,60000,13,"Galaxy A10s 6.2-Inch (2GB,32GB ROM) Android 9.0, (13MP+2MP)+ 8MP Dual SIM 4000mAh 4G LTE Smartphone - Black (BF19)",88,625,32.0,2.0,4000.0,13MP+2MP+8MP,23.0,6.2,4.5
19,Oukitel,35299,40999,14,"U25 Pro 4G Phablet 5.5""inch (4GB RAM 64GB ROM) Android 8.1 13.0MP Rear Camera 3200mAh-Purple",84,32,64.0,4.0,3200.0,13.0MP,13.0,5.5,4.5
20,Oukitel,43199,55999,23,"C17 Pro 6.35-inch Android 9.0 With Back Case,(4GB RAM 64GB ROM)Cortex A53 2.0GHz Triple Rear Cameras 4G Smartphone-BLACK",82,111,64.0,4.0,,,21.0,6.35,4.5
21,Gionee,48182,199000,76,"M6 Plus(4GB RAM +64GB ROM ,8MP+16MP Camera, 6020mAh Battery, Dual SIM 4G, 6 Inch FHD Display)-Gold",60,2,64.0,4.0,6020.0,8MP+16MP,24.0,6.0,3.0
22,Oukitel,49500,66040,25,K7 Pro 6.0 Inch 10000mAh OTG 4+64GB Android 9.0 Black EU,80,1,64.0,4.0,10000.0,,21.0,6.0,4.0
23,Gionee,43026,91892,53,M6 5.5 Inch 4GB RAM 64GB ROM 13MP+8MP Hybrid Dual SIM Android 7.1 4G LTE Smartphone 5000mAh,82,13,64.0,4.0,5000.0,13MP+8MP,21.0,5.5,4.5
24,Nokia,32999,60000,45,"3.1 - 5.2"" - Android - 8 3GB RAM 32GB ROM - 13MP + 8MP -  Dual SIM 4G LTE Smartphone",84,34,32.0,3.0,,13MP+8MP,21.0,5.2,4.5
25,Gionee,26800,26800,0,"P10m 6.088"" Waterdrop Display, (1GB, 16GB ROM) 5MP Selfie/8MP Rear, Android 8.1 (Oreo) Go, Dual SIM, 4000mAh - Blue",83,29,16.0,1.0,4000.0,5MP+8MP,13.0,6.09,4.5
26,Infinix,83000,83000,0,"S5, 128GB ROM, 6GB RAM 6.6 Inches, 4000 Mah Battery, 4 AI Cameras, Fingerprint, 4G LTE,",94,3,128.0,6.0,4000.0,,21.0,6.6,5.0
27,Cubot,21099,32699,35,"J7 5.7"" Android 9.0 Pie Face ID,(2GB RAM+16GB ROM), Dual Rear Camera 13MP 2800mAh Dual SIM Card 3G Smartphone-BLACK",89,18,16.0,2.0,2800.0,13MP,13.0,5.7,4.5
28,Samsung,390000,420000,7,"Galaxy Note 10 Plus (Note 10+) 6.8-Inch (12GB RAM, 256GB ROM), (12MP + 16MP) Dual SIM 4,300 MAh Smartphone - Aura White",100,1,256.0,12.0,300.0,12MP+16MP,28.0,6.8,5.0
29,Gionee,36520,67451,46,"S11 Lite 5.7-Inch HD (4GB,32GB ROM) Android 7.1 (13MP + 2MP) + 16MP Dual SIM 4G LTE Fingerprint ID Smartphone - Black",83,301,32.0,4.0,,13MP+2MP+16MP,31.0,5.7,4.5
30,Gionee,29800,125405,76,S10C 5.2 Inch HD 4GB RAM 32GB ROM 16MP+13MP Hybrid Dual SIM 4G LTE Smartphone 3100mA,100,1,32.0,4.0,,16MP+13MP,29.0,5.2,5.0
31,Nokia,35699,45999,22,"5.1, 5.5-inch (3GB RAM 32GB ROM), Android 9 Pie, Dual Sim, 16MP+8MP 2970mAh 4G Smartphone-Blue",78,10,32.0,3.0,2970.0,16MP+8MP,24.0,5.5,4.0
32,Samsung,132900,250000,47,Galaxy S9 5.8'' Inch QHD 4GB+64GB 12MP+8MP 4G Smartphone-Gold,90,4,64.0,4.0,,12MP+8MP,20.0,5.8,4.5
33,Letv,34990,54706,36,LeEco Le 2 X520 5.5'' (3GB+64GB ROM) Snapdragon 652 1.8GHz Octa Core 4G Smartphone,80,7,64.0,3.0,,,21.0,5.5,4.0
34,Oukitel,29990,55980,46,C15 Pro 3GB RAM 32GB ROM 4G 6.088-inch Smartphone MT6761 Quad-core Dual Rear Cameras - Fantastic,100,2,32.0,3.0,,,21.0,6.09,5.0
35,UMIDIGI,48990,96770,49," A5 Pro FHD Fingerprint Smartphone 6.3"" Android 9.0 4GB+32GB - Space Grey",87,170,32.0,4.0,,,21.0,6.3,4.5
36,Ulefone,22950,33190,31,"Note 7 - 6.1 Inch 3G Smartphone (1GB,16GB ROM) Triple Camera 3500mAh Face ID -Black",83,16,16.0,1.0,3500.0,,21.0,6.1,4.5
37,Samsung,400000,420000,5,"Galaxy Note 10 Plus (Note 10+) 6.8-Inch (12GB RAM, 256GB ROM), (12MP + 16MP) Dual SIM 4,300 MAh Smartphone - Aura Glow",85,8,256.0,12.0,300.0,12MP+16MP,28.0,6.8,4.5
38,Gionee,24999,30000,17,"M6 Mini 5.45"" HD (1GB RAM + 16GB ROM) 5MP Selfie + 8MP Rear Camera, 4000 MAh Battery- Black",72,9,16.0,1.0,4000.0,5MP+8MP,13.0,5.45,4.0
39,Blackview,23621,39214,40,A30 5.5” Bangs Screen (2+16G) Dual SIM GSM International Mode Bundle,67,9,16.0,2.0,,,21.0,6.0,3.5
40,Gionee,29300,49800,41,"S10 Lite 5.2-Inch HD (4GB RAM, 32GB ROM) Android 7.1, 16MP + 13MP Hybrid Dual SIM 4G LTE- Gold",100,2,32.0,4.0,,16MP+13MP,29.0,5.2,5.0
41,Oneplus,350000,350000,0,"7T Pro, 6.67"" (8GB RAM + 256GB ROM) Android 10.0, (48MP + 8MP +16MP) + 16MP Dual SIM - Blue",100,2,256.0,8.0,,48MP+8MP+16MP+16MP,88.0,6.67,5.0
42,Ulefone,40841,59000,31,Armor X5 4G Phablet 5.5 Inch Android 9.0 MT6763 3GB RAM 32GB ROM 13MP + 2.0MP Rear Camera 5000mAh Battery-Black,85,4,32.0,3.0,5000.0,13MP+2.0MP,15.0,5.5,4.5
43,Nokia,41990,55000,24,"4.2, 5.71-Inch (3GB, 32GB) Android 9.0 (13MP+2MP)+ 8MP 3000mAh 4G LTE (+ 1 Year Warranty) - Black",92,12,32.0,3.0,3000.0,13MP+2MP+8MP,23.0,5.71,5.0
44,Samsung,54990,59900,8,"Galaxy A10s 6.2-Inch (2GB RAM, 32GB ROM) Android 9.0 Pie,(13MP+2MP)+8MP,4G LTE, Fingerprint Dual Sim Smartphone - Blue",90,16,32.0,2.0,,13MP+2MP+8MP,23.0,6.2,4.5
45,Samsung,237900,350000,32,"Galaxy Note 9 - (6GB+128GB)-6.4""- Android 8.1, (12MP+12MP) + 8MP Front Camera, S-Pen, Dual Sim, LTE - Black",100,1,128.0,6.0,,12MP+12MP+8MP,32.0,6.4,5.0
